the_geom,H_NO,BIN,ADDRESS_ID,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG,HN_RNG_SUF,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE
POINT (-73.96197282464355 40.77892378570266),1010,1046740,1036750,,N,1,V,1,10028,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,5,,,89914,,,,AVE,,,5 AVE
POINT (-73.98120935147018 40.74769496591666),16,1017106,1020198,,N,2,V,1,10016,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,PARK,,,80033,,,,AVE,,,PARK AVE
POINT (-73.9547967490672 40.784253278684986),1160,1047074,1037130,,N,1,V,1,10128,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,PARK,,,21749,,,,AVE,,,PARK AVE
POINT (-73.9639930204268 40.77611035811226),969,1041848,1033758,,N,2,V,1,10075,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,5,,,81593,,,,AVE,,,5 AVE
POINT (-73.98682219277809 40.74223191049776),27,1016743,1019908,,N,1,V,1,10010,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,MADISON,,,16781,,,,AVE,,,MADISON AVE
POINT (-73.9572640001647 40.785297600326025),1109,1047052,1037101,,N,1,V,1,10128,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,5,,,21750,,,,AVE,,,5 AVE
POINT (-73.95947205074836 40.782126747347434),1060,1046913,1036921,,N,1,V,1,10128,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,5,,,21742,,,,AVE,,,5 AVE
POINT (-74.07074531719294 40.609478152847096),195,5044065,5056032,,N,1,V,5,10305,02/20/2009 12:00:00 AM +0000,09/25/2015 12:00:00 AM +0000,ST JOHNS,,,100521,,,,AVE,,,ST JOHNS AVE
POINT (-73.98038063119932 40.74929342669818),50,1017205,5167002,E,N,1,V,1,10016,09/25/2015 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,PARK,,,23427,,,,AVE,,,PARK AVE
POINT (-73.9804519336196 40.74932332313637),50,1017205,5167003,W,N,1,V,1,10016,09/25/2015 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,PARK,,,23427,,,,AVE,,,PARK AVE
